mikado_final_sc2_stringent_noMito_protein	humanGene	mouseGene	ybmarGene	almarGene	squirGene	hierGene	uniqueHier	humanOneToOne	mouseOneToOne
mikado.WCK01_AAH20201022_F8-rsc00002G1	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G2	ZNF827	Zfp827	NA	NA	Znf827	ZNF827	ZNF827	ZNF827	Zfp827
mikado.WCK01_AAH20201022_F8-rsc00002G3	LSM6	Lsm6	Lsm6	Lsm6	Lsm6	LSM6	LSM6	LSM6	Lsm6
mikado.WCK01_AAH20201022_F8-rsc00002G4	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G5	REELD1	NA	Reeld1	NA	NA	REELD1	REELD1	REELD1	NA
mikado.WCK01_AAH20201022_F8-rsc00002G6	HNRNPA1	Hnrnpa1	Hnrnpa1	LOC107138592	Hnrnpa1	HNRNPA1	HNRNPA1	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G7	SLC10A7	Slc10a7	Slc10a7	Slc10a7	Slc10a7	SLC10A7	SLC10A7	SLC10A7	Slc10a7
mikado.WCK01_AAH20201022_F8-rsc00002G8	POU4F2	Pou4f2	Pou4f2	Pou4f2	Pou4f2	POU4F2	POU4F2	POU4F2	Pou4f2
mikado.WCK01_AAH20201022_F8-rsc00002G9	TTC29	Ttc29	Ttc29	Ttc29	Ttc29	TTC29	TTC29	TTC29	Ttc29
mikado.WCK01_AAH20201022_F8-rsc00002G10	EDNRA	Ednra	Ednra	Ednra	Ednra	EDNRA	EDNRA	EDNRA	Ednra
mikado.WCK01_AAH20201022_F8-rsc00002G11	TMEM184C	Tmem184c	Tmem184c	Tmem184c	NA	TMEM184C	TMEM184C	TMEM184C	Tmem184c
mikado.WCK01_AAH20201022_F8-rsc00002G12	PRMT9	Prmt9	Prmt9	Prmt9	Prmt9	PRMT9	PRMT9	PRMT9	Prmt9
mikado.WCK01_AAH20201022_F8-rsc00002G13	ARHGAP10	Arhgap10	Arhgap10	Arhgap10	Arhgap10	ARHGAP10	ARHGAP10	ARHGAP10	Arhgap10
mikado.WCK01_AAH20201022_F8-rsc00002G14	NR3C2	Nr3c2	Nr3c2	LOC107141104	Nr3c2	NR3C2	NR3C2	NR3C2	Nr3c2
mikado.WCK01_AAH20201022_F8-rsc00002G15	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G17	IQCM	Iqcm	Iqcm	NA	Iqcm	IQCM	IQCM	IQCM	Iqcm
mikado.WCK01_AAH20201022_F8-rsc00002G18	C8orf33	NA	LOC114105498	NA	NA	C8orf33	C8orf33	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G19	C8orf33	NA	LOC114105498	NA	NA	C8orf33	C8orf33-1	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G20	DCLK2	Dclk2	Dclk2	Dclk2	Dclk2	DCLK2	DCLK2	DCLK2	Dclk2
mikado.WCK01_AAH20201022_F8-rsc00002G21	MAB21L2	Mab21l2	Mab21l2	Mab21l2	Mab21l2	MAB21L2	MAB21L2	MAB21L2	Mab21l2
mikado.WCK01_AAH20201022_F8-rsc00002G22	LRBA	Lrba	Lrba	Lrba	Lrba	LRBA	LRBA	LRBA	Lrba
mikado.WCK01_AAH20201022_F8-rsc00002G23	RPS3A	Rps3a1	Rps3a	Rps3a	Rps3a;LOC101970866	RPS3A	RPS3A	RPS3A	Rps3a1
mikado.WCK01_AAH20201022_F8-rsc00002G24	PRSS48	Prss48	Prss48	Prss48	Prss48	PRSS48	PRSS48	PRSS48	Prss48
mikado.WCK01_AAH20201022_F8-rsc00002G25	SNRPG	NA	LOC114085591	Snrpg	NA	SNRPG	SNRPG	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G26	SH3D19	Sh3d19	LOC114082639;Sh3d19	Sh3d19	Sh3d19	SH3D19	SH3D19	SH3D19	Sh3d19
mikado.WCK01_AAH20201022_F8-rsc00002G27	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G28	FAM160A1	Fam160a1	Fam160a1	Fam160a1	Fam160a1	FAM160A1	FAM160A1	FAM160A1	Fam160a1
mikado.WCK01_AAH20201022_F8-rsc00002G29	GATB	Gatb	Gatb	Gatb	Gatb	GATB	GATB	GATB	Gatb
mikado.WCK01_AAH20201022_F8-rsc00002G30	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G31	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G32	FBXW7	Fbxw7	Fbxw7	Fbxw7	Fbxw7	FBXW7	FBXW7	FBXW7	Fbxw7
mikado.WCK01_AAH20201022_F8-rsc00002G34	TMEM154	Tmem154	Tmem154	Tmem154	Tmem154	TMEM154	TMEM154	TMEM154	Tmem154
mikado.WCK01_AAH20201022_F8-rsc00002G35	ARFIP1	Arfip1	Arfip1	Arfip1	Arfip1	ARFIP1	ARFIP1	ARFIP1	Arfip1
mikado.WCK01_AAH20201022_F8-rsc00002G36	TIGD4	Tigd4	Tigd4	Tigd4	Tigd4	TIGD4	TIGD4	TIGD4	Tigd4
mikado.WCK01_AAH20201022_F8-rsc00002G37	FHDC1	Fhdc1	Fhdc1	Fhdc1	Fhdc1	FHDC1	FHDC1	FHDC1	Fhdc1
mikado.WCK01_AAH20201022_F8-rsc00002G38	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G39	TRIM2	Trim2	Trim2	Trim2	Trim2	TRIM2	TRIM2	TRIM2	Trim2
mikado.WCK01_AAH20201022_F8-rsc00002G40	MND1	Mnd1	Mnd1	Mnd1	Mnd1	MND1	MND1	MND1	Mnd1
mikado.WCK01_AAH20201022_F8-rsc00002G41	TMEM131L	NA	Tmem131l	Kiaa0922	Tmem131l	TMEM131L	TMEM131L	TMEM131L	NA
mikado.WCK01_AAH20201022_F8-rsc00002G42	TLR2	Tlr2	Tlr2	Tlr2	Tlr2	TLR2	TLR2	TLR2	Tlr2
mikado.WCK01_AAH20201022_F8-rsc00002G43	RNF175	NA	Rnf175	Rnf175	Rnf175	RNF175	RNF175	RNF175	NA
mikado.WCK01_AAH20201022_F8-rsc00002G44	SFRP2	Sfrp2	Sfrp2	Sfrp2	Sfrp2	SFRP2	SFRP2	SFRP2	Sfrp2
mikado.WCK01_AAH20201022_F8-rsc00002G45	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G46	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G47	DCHS2	NA	Dchs2	Dchs2	Dchs2	DCHS2	DCHS2	DCHS2	NA
mikado.WCK01_AAH20201022_F8-rsc00002G48	PLRG1	Plrg1	Plrg1	Plrg1	Plrg1	PLRG1	PLRG1	PLRG1	Plrg1
mikado.WCK01_AAH20201022_F8-rsc00002G49	FGB	Fgb	Fgb	Fgb	Fgb	FGB	FGB	FGB	Fgb
mikado.WCK01_AAH20201022_F8-rsc00002G50	FGA	Fga	Fga	Fga	Fga	FGA	FGA	FGA	Fga
mikado.WCK01_AAH20201022_F8-rsc00002G51	FGG	Fgg	Fgg	Fgg	Fgg	FGG	FGG	FGG	Fgg
mikado.WCK01_AAH20201022_F8-rsc00002G52	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G53	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G54	LRAT	Lrat	Lrat	Lrat	Lrat	LRAT	LRAT	LRAT	Lrat
mikado.WCK01_AAH20201022_F8-rsc00002G55	RBM46	Rbm46	Rbm46	Rbm46	Rbm46	RBM46	RBM46	RBM46	Rbm46
mikado.WCK01_AAH20201022_F8-rsc00002G56	NA	NA	NA	NA	NA	NA	NA	NA	NA
mikado.WCK01_AAH20201022_F8-rsc00002G57	NPY2R	Npy2r	Npy2r	Npy2r	Npy2r	NPY2R	NPY2R	NPY2R	Npy2r
